iter	Passed	Remaining
0	152	152574
1	158	78915
2	165	54981
3	169	42257
4	176	35147
5	182	30279
6	187	26668
7	193	24042
8	199	21946
9	204	20235
10	210	18963
11	217	17888
12	224	17008
13	229	16159
14	234	15407
15	240	14760
16	244	14155
17	249	13608
18	254	13140
19	259	12703
20	263	12300
21	268	11935
22	272	11579
23	276	11249
24	281	10978
25	285	10713
26	289	10450
27	294	10219
28	298	9995
29	302	9785
30	306	9594
31	311	9411
32	315	9239
33	319	9077
34	324	8935
35	328	8794
36	332	8657
37	336	8530
38	341	8422
39	346	8308
40	350	8194
41	354	8093
42	358	7984
43	363	7889
44	367	7797
45	371	7701
46	375	7615
47	379	7526
48	383	7442
49	387	7364
50	391	7285
51	395	7217
52	399	7143
53	403	7072
54	407	7005
55	411	6944
56	416	6884
57	420	6821
58	423	6760
59	427	6703
60	431	6645
61	435	6594
62	439	6540
63	443	6491
64	447	6441
65	452	6396
66	456	6357
67	461	6323
68	465	6283
69	469	6242
70	474	6204
71	478	6166
72	482	6124
73	486	6084
74	491	6064
75	496	6035
76	500	5999
77	505	5970
78	509	5941
79	513	5907
80	517	5875
81	530	5940
82	534	5907
83	539	5883
84	543	5855
85	548	5826
86	552	5799
87	557	5772
88	561	5744
89	565	5715
90	569	5691
91	574	5665
92	578	5640
93	582	5611
94	586	5590
95	590	5565
96	594	5536
97	599	5515
98	604	5497
99	608	5473
100	612	5448
101	617	5432
102	621	5411
103	625	5388
104	629	5365
105	634	5347
106	638	5326
107	642	5303
108	646	5284
109	651	5267
110	654	5245
111	659	5225
112	663	5210
113	668	5195
114	672	5175
115	676	5155
116	681	5140
117	685	5121
118	689	5102
119	693	5088
120	698	5071
121	701	5052
122	706	5035
123	710	5021
124	714	5003
125	719	4987
126	723	4971
127	727	4956
128	731	4941
129	736	4925
130	740	4912
131	745	4903
132	749	4887
133	754	4874
134	758	4862
135	763	4851
136	767	4837
137	771	4821
138	776	4808
139	780	4794
140	784	4778
141	788	4765
142	793	4753
143	797	4741
144	801	4726
145	806	4718
146	811	4707
147	815	4693
148	820	4684
149	824	4671
150	828	4658
151	832	4645
152	837	4635
153	841	4624
154	845	4611
155	849	4597
156	854	4586
157	858	4577
158	862	4564
159	867	4552
160	871	4542
161	875	4531
162	879	4518
163	884	4508
164	888	4496
165	892	4484
166	896	4470
167	901	4464
168	905	4454
169	909	4442
170	914	4432
171	918	4422
172	922	4410
173	926	4398
174	930	4387
175	934	4375
176	938	4363
177	942	4351
178	947	4344
179	951	4333
180	955	4321
181	959	4310
182	963	4301
183	967	4289
184	971	4278
185	975	4269
186	979	4259
187	983	4248
188	987	4237
189	991	4227
190	995	4218
191	999	4207
192	1004	4198
193	1008	4189
194	1012	4180
195	1016	4169
196	1020	4159
197	1024	4150
198	1029	4141
199	1033	4132
200	1037	4123
201	1041	4116
202	1045	4106
203	1050	4097
204	1053	4086
205	1057	4077
206	1062	4068
207	1065	4058
208	1069	4048
209	1073	4040
210	1077	4030
211	1081	4021
212	1085	4012
213	1089	4003
214	1093	3994
215	1097	3984
216	1102	3977
217	1106	3968
218	1110	3960
219	1114	3951
220	1118	3942
221	1122	3934
222	1126	3925
223	1130	3917
224	1134	3908
225	1138	3899
226	1142	3891
227	1147	3884
228	1152	3879
229	1157	3875
230	1161	3867
231	1166	3860
232	1172	3859
233	1176	3852
234	1181	3846
235	1186	3841
236	1190	3832
237	1194	3824
238	1198	3817
239	1203	3811
240	1207	3802
241	1211	3795
242	1216	3788
243	1220	3780
244	1224	3773
245	1228	3765
246	1233	3760
247	1237	3752
248	1241	3745
249	1246	3739
250	1250	3732
251	1255	3725
252	1259	3718
253	1264	3712
254	1268	3706
255	1272	3698
256	1276	3691
257	1280	3683
258	1284	3676
259	1288	3667
260	1292	3660
261	1296	3652
262	1300	3645
263	1304	3636
264	1308	3629
265	1312	3622
266	1316	3615
267	1320	3607
268	1324	3600
269	1329	3593
270	1332	3585
271	1336	3577
272	1341	3571
273	1345	3564
274	1349	3557
275	1353	3549
276	1357	3542
277	1361	3535
278	1365	3528
279	1369	3520
280	1373	3513
281	1377	3506
282	1380	3498
283	1384	3491
284	1388	3484
285	1393	3477
286	1396	3470
287	1400	3463
288	1405	3457
289	1410	3452
290	1414	3445
291	1418	3439
292	1422	3433
293	1426	3426
294	1430	3418
295	1435	3414
296	1439	3408
297	1443	3400
298	1447	3393
299	1451	3387
300	1456	3381
301	1460	3375
302	1464	3369
303	1468	3362
304	1472	3356
305	1476	3349
306	1481	3344
307	1485	3338
308	1490	3332
309	1494	3326
310	1499	3321
311	1503	3315
312	1507	3308
313	1511	3301
314	1515	3295
315	1519	3289
316	1523	3282
317	1527	3276
318	1532	3270
319	1536	3264
320	1540	3258
321	1545	3253
322	1549	3248
323	1554	3242
324	1558	3235
325	1563	3231
326	1569	3229
327	1573	3223
328	1577	3217
329	1581	3211
330	1585	3205
331	1589	3198
332	1594	3193
333	1598	3187
334	1602	3181
335	1606	3175
336	1611	3169
337	1615	3164
338	1619	3157
339	1623	3152
340	1628	3146
341	1632	3140
342	1636	3134
343	1640	3129
344	1644	3122
345	1648	3116
346	1652	3109
347	1657	3104
348	1660	3098
349	1664	3091
350	1668	3085
351	1673	3080
352	1677	3074
353	1681	3067
354	1685	3061
355	1689	3056
356	1693	3050
357	1697	3044
358	1701	3038
359	1705	3032
360	1709	3026
361	1713	3020
362	1718	3015
363	1722	3009
364	1726	3003
365	1730	2997
366	1734	2992
367	1738	2986
368	1742	2980
369	1746	2974
370	1751	2968
371	1755	2962
372	1758	2956
373	1762	2950
374	1766	2944
375	1770	2938
376	1774	2932
377	1778	2926
378	1782	2921
379	1786	2915
380	1790	2909
381	1794	2903
382	1798	2897
383	1802	2891
384	1806	2886
385	1810	2880
386	1814	2874
387	1818	2868
388	1822	2862
389	1826	2857
390	1830	2851
391	1834	2845
392	1838	2839
393	1842	2833
394	1846	2827
395	1849	2821
396	1853	2815
397	1857	2809
398	1861	2804
399	1865	2798
400	1869	2792
401	1873	2786
402	1877	2781
403	1882	2776
404	1885	2770
405	1890	2765
406	1895	2761
407	1899	2755
408	1903	2749
409	1908	2745
410	1912	2740
411	1916	2734
412	1919	2728
413	1924	2723
414	1928	2718
415	1932	2712
416	1936	2707
417	1939	2700
418	1943	2694
419	1947	2689
420	1951	2683
421	1955	2678
422	1960	2674
423	1964	2668
424	1969	2664
425	1973	2659
426	1977	2654
427	1981	2648
428	1986	2644
429	1990	2639
430	1994	2633
431	1999	2628
432	2003	2624
433	2007	2618
434	2011	2612
435	2015	2607
436	2020	2603
437	2024	2597
438	2028	2592
439	2033	2587
440	2037	2582
441	2041	2577
442	2045	2572
443	2050	2567
444	2054	2561
445	2057	2556
446	2061	2550
447	2066	2545
448	2070	2540
449	2074	2535
450	2077	2528
451	2081	2523
452	2085	2518
453	2090	2513
454	2094	2508
455	2098	2503
456	2103	2499
457	2107	2494
